X,Y,PLOTID,LON,LAT,strate,prob_chang,ID,INT1_2000,INT1_2010,INT1_2015,INT1_2020,INT1_2021,CHG_20_21,CHG_00_10,CHG_10_15,CHG_15_20,IC,COMMENT.,P-I_name
164489.073966944,613226.703235647,"136643","-6.02781463601577","5.54013257207007","3","0.426196825396825","634","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
166619.670340809,587190.161811572,"137783","-6.00743957601821","5.30501759675778","2","0.322865079365079","635","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,ALE
167739.088526582,562160.283881958,"138340","-5.99628206478832","5.07894382184863","3","0.447149206349206","636","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,ALE
169764.058558025,557146.125731935,"139499","-5.97783077711204","5.03372887506266","3","0.453628571428571","637","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
171700.795008744,571150.540295171,"140672","-5.96096229038506","5.16033056644325","3","0.651455555555556","638","11","22","22","22","22",Stable,Deforestation,Stable,Stable,"2","CHG_00_10 en 2010 nuages, autour on dirait déjà des plantations",ALE
173616.521209853,589158.390973113,"141848","-5.94446217877864","5.32310342841962","3","0.698361904761905","639","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,ALE
174528.654007473,607170.660479839,"142444","-5.93702526928586","5.48587543249955","2","0.3802","640","21","99","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
174508.565247608,611174.453839879,"142448","-5.9373840476976","5.52204686985031","3","0.66007619047619","641","11","11","21","21","21",Stable,Stable,Deforestation,Stable,"2",CHG_10_15 nuages mais le couvert est présent autour,ALE
175574.267890665,598157.306897649,"143012","-5.92720377133778","5.40448953931671","2","0.24044126984127","642","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
176738.077190972,564120.956575096,"143556","-5.91528227292052","5.09702978290016","2","0.307209523809524","643","11","21","21","21","21",Stable,Deforestation,Stable,Stable,"2",CHG_00_10 buffer en bordure de forêt,ALE
176619.207427581,589144.128440474,"143581","-5.91739677356635","5.32310342841962","3","0.501855555555555","644","11","99","21","21","21",Stable,Stable,Deforestation,Stable,"2",CHG_00_10 nuages en 2010 / déofrestation en 2015,ALE
177687.28766278,575126.529669267,"144145","-5.90718121584226","5.19650238636039","3","0.531507936507936","645","11","23","23","23","23",Stable,Deforestation,Stable,Stable,"2",CHG_00_10 en 2000 le buffer est à cheval sur deux occupation mais majorité pour de la forêt,ALE
178625.812007121,588133.781121889,"144737","-5.89926706713902","5.3140605139104","2","0.219626984126984","646","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
178562.0742255,601145.655081288,"144750","-5.90039799117412","5.43161819472806","3","0.672104761904762","647","22","99","22","22","22",Stable,Stable,Stable,Stable,"1",,ALE
179712.632249936,570112.841371494,"145302","-5.88872325573736","5.1512876050334","3","0.490030158730159","648","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,ALE
180656.479901574,582119.046665184,"145897","-5.88071179766524","5.25980297149944","3","0.447742857142857","649","11","99","21","21","21",Stable,Stable,Deforestation,Stable,"2",chg_10_15 en 200 de la forêt puis nuags en 2010 / buffer 50/50 avec cacao et cult. permanentes,ALE
181690.726602407,575108.229799848,"146473","-5.87110130012229","5.19650238636039","3","0.439246031746032","650","11","99","12","12","12",Stable,Stable,Degradation,Stable,"2",nuages en 2010 : ilots de foret secondaires ou agroforet : la zone est agricole mais présente des ilôtes avec des houpiers assez hauts,ALE
181657.327840693,582114.436953697,"146480","-5.87169091289246","5.25980297149944","1","0.104728571428571","651","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
182738.579679684,565094.916019755,"147045","-5.86125284272883","5.10607275962322","3","0.543804761904762","652","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
183682.897672307,577100.906656788,"147640","-5.85322854921312","5.2145882808233","1","0.143403174603175","653","11","21","21","21","21",Stable,Deforestation,Stable,Stable,"1",,ALE
183571.266346488,600120.968198463,"147663","-5.85519377974529","5.42257531228618","2","0.275574603174603","654","99","99","22","22","22",Stable,Stable,Stable,Stable,"2",nuages en 2000/2010,ALE
184635.72169342,587105.013265706,"148233","-5.84505188099644","5.30501759675778","2","0.270798412698413","655","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
184626.022845776,589106.741650217,"148235","-5.84522235966692","5.32310342841962","3","0.483574603174603","656","11","99","21","21","21",Stable,Stable,Deforestation,Stable,"2",CHG_10_15 nuages ene 2010 / 2000 forêt majoritaire sur le buffer,ALE
186704.317838351,573083.985132995,"149385","-5.82583555768024","5.17841648155518","2","0.361712698412698","657","11","21","21","21","21",Stable,Deforestation,Stable,Stable,"1",,ALE
189762.818075116,561060.812774468,"151139","-5.79779817320827","5.06990083752906","2","0.221971428571429","658","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
189581.041987883,599092.108655273,"151177","-5.80096792768888","5.41353242714758","1","0.123493650793651","659","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
189566.185203005,602094.588442339,"151180","-5.80122714922071","5.44066107446878","3","0.496815873015873","660","99","99","21","21","21",Stable,Stable,Stable,Stable,"2",nuages en 2000/2010,ALE
191727.086173254,569058.643146712,"152333","-5.78040956343769","5.14224464106022","2","0.372514285714286","661","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,ALE
191650.943834258,585071.563663359,"152349","-5.78173305600096","5.28693175454015","3","0.510071428571429","662","11","21","21","21","21",Stable,Deforestation,Stable,Stable,"2",CHG_00_10 nuages en 2010 / déofrestation en 2015 avec IC 1,ALE
195624.855129136,591058.427109486,"154729","-5.74615070338541","5.34118924949012","3","0.558665079365079","663","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
195600.381820133,596062.322128099,"154734","-5.74657364210517","5.38640375559591","3","0.603617460317461","664","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
196546.549790641,607066.320316034,"155341","-5.73849263266308","5.48587543249955","3","0.528012698412698","665","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
197669.8476123,582042.655694899,"155913","-5.72735675652799","5.25980297149944","3","0.443847619047619","666","11","99","21","21","21",Stable,Stable,Deforestation,Stable,"2",Déforesstation entre 2000 et 2015 nuages en 2010,ALE
197587.058071188,599055.63113756,"155930","-5.72878287976053","5.41353242714758","2","0.26781746031746","667","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
197567.232628386,603058.690250857,"155934","-5.72912449621589","5.4497039515039","3","0.49802380952381","668","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,ALE
197486.614724808,619070.95031405,"155950","-5.7305140612696","5.59438961248068","2","0.311380952380952","669","99","23","23","23","23",Stable,Stable,Stable,Stable,"1",,ALE
198646.462891171,587042.066663065,"156516","-5.71875034042395","5.30501759675778","3","0.461028571428571","670","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
201757.743647615,564012.141657387,"158285","-5.68981782491523","5.09702978290016","2","0.266057142857143","671","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,ALE
