"PLOTID","LON","LAT","cal_val","prob_change","str_dal_ney_3s","vis_sep_1","vis_ign_1","vis_ign_2"
20,-8.57902204901186,6.50770067395092,"none",0.005,1,0,0,0
21,-8.57917558546211,6.51674320062041,"none",0.0690992063492064,1,0,0,0
30,-8.56998102778582,6.50770067395092,"none",0.0257095238095238,1,1,0,0
31,-8.57013440243134,6.51674320062041,"none",0.0108,1,0,0,0
41,-8.56094000655979,6.50770067395092,"none",0.0222380952380952,1,0,0,0
42,-8.56109321940059,6.51674320062041,"none",0.00555238095238095,1,0,0,0
43,-8.56124664956127,6.52578572405782,"none",0.0684833333333334,1,0,0,0
44,-8.56140029706101,6.53482824425875,"none",0.00473809523809524,1,0,0,0
47,-8.56186254378683,6.56195578539858,"none",0.0650809523809524,1,0,0,0
53,-8.55189898533375,6.50770067395092,"none",0.00695238095238095,1,0,0,0
54,-8.55205203636982,6.51674320062041,"none",0.0495611111111111,1,0,0,0
55,-8.55220530449627,6.52578572405782,"none",0.152588095238095,2,0,0,0
56,-8.55235878973226,6.53482824425875,"none",0.0487380952380952,1,0,0,0
57,-8.55251249209697,6.54387076121879,"none",0.0153714285714286,1,0,0,0
58,-8.55266641160961,6.55291327493353,"none",0.126635714285714,2,0,0,0
59,-8.55282054828943,6.56195578539858,"none",0.116809523809524,2,0,0,0
67,-8.54270529171814,6.49865814405375,"none",0.0159666666666667,1,0,0,0
68,-8.54285796410771,6.50770067395092,"none",0.0085,1,0,0,0
69,-8.54301085333906,6.51674320062041,"none",0.0610547619047619,1,0,0,0
70,-8.54316395943128,6.52578572405782,"none",0.30297619047619,3,0,0,0
71,-8.54331728240351,6.53482824425875,"none",0.227979365079365,2,0,0,0
72,-8.54347082227491,6.54387076121879,"none",0.017852380952381,1,0,0,0
73,-8.54362457906468,6.55291327493353,"none",0.123327777777778,2,0,0,0
86,-8.53351213784623,6.48961561093332,"none",0.00316666666666667,1,0,0,0
87,-8.53366443206734,6.49865814405375,"none",0.0392380952380952,1,0,0,0
88,-8.53381694288168,6.50770067395092,"none",0.0109,1,0,0,0
89,-8.5339696703083,6.51674320062041,"none",5e-04,1,0,0,0
90,-8.53412261436628,6.52578572405782,"none",0.0501714285714286,1,0,0,0
91,-8.53427577507475,6.53482824425875,"none",0.264142063492063,2,0,0,0
92,-8.53442915245285,6.54387076121879,"none",0.0319714285714286,1,0,0,0
93,-8.53458274651975,6.55291327493353,"none",0.158447619047619,2,0,0,0
94,-8.53473655729464,6.56195578539858,"none",0.0579150793650794,1,0,0,0
106,-8.52431952301059,6.48057307459403,"none",0.0129666666666667,1,0,0,0
107,-8.5244714395412,6.48961561093332,"none",0.0265190476190476,1,0,0,0
108,-8.52462357241654,6.49865814405375,"none",0.0187857142857143,1,0,0,0
109,-8.52477592165564,6.50770067395092,"none",0.0980484126984127,2,0,0,0
110,-8.52492848727754,6.51674320062041,"none",0.0997706349206349,2,0,0,0
111,-8.52508126930129,6.52578572405782,"none",0.00956666666666667,1,0,0,0
112,-8.525234267746,6.53482824425875,"none",0.189237301587302,2,0,0,0
113,-8.52538748263079,6.54387076121879,"none",0.0148,1,0,0,0
114,-8.52554091397481,6.55291327493353,"none",0.0807277777777778,2,0,0,0
115,-8.52569456179724,6.56195578539858,"none",0.0281714285714286,1,0,0,0
116,-8.52584842611729,6.57099829260953,"none",0.0805714285714286,2,0,0,0
117,-8.52600250695419,6.58004079656196,"none",0.061547619047619,1,0,0,1
118,-8.52615680432721,6.58908329725149,"none",0.0515539682539682,1,0,0,0
119,-8.52631131825563,6.59812579467371,"none",0.222373015873016,2,0,0,0
120,-8.52646604875877,6.60716828882421,"none",0.00873333333333333,1,0,0,0
126,-8.51497612326341,6.4624879922765,"none",0.264994444444444,2,0,0,0
127,-8.51512744650395,6.47153053504029,"none",0.0687944444444444,1,0,0,0
128,-8.5152789858219,6.48057307459403,"none",0.130561111111111,2,0,0,0
129,-8.51543074123617,6.48961561093332,"none",0.0498190476190476,1,0,0,0
130,-8.51558271276574,6.49865814405375,"none",0.00873333333333333,1,0,0,0
131,-8.51573490042961,6.50770067395092,"none",0.0248190476190476,1,0,0,0
132,-8.51588730424677,6.51674320062041,"none",0.197165873015873,2,0,0,0
133,-8.5160399242363,6.52578572405782,"none",0.124421428571429,2,0,0,0
134,-8.51619276041725,6.53482824425875,"none",0.0333380952380952,1,0,0,0
135,-8.51634581280873,6.54387076121879,"none",0.024852380952381,1,0,0,0
136,-8.51649908142988,6.55291327493353,"none",0.109076190476191,2,0,0,0
137,-8.51665256629985,6.56195578539858,"none",0.0240412698412698,1,0,0,0
138,-8.51680626743783,6.57099829260953,"none",0.0251666666666667,1,0,0,0
139,-8.51696018486303,6.58004079656196,"none",0.0848190476190476,2,0,0,0
140,-8.5171143185947,6.58908329725149,"none",0.0207857142857143,1,0,0,0
148,-8.50578496086515,6.45344544630708,"none",0.03745,1,0,0,0
149,-8.5059359076191,6.4624879922765,"none",0.0506571428571429,1,0,0,0
150,-8.50608707020215,6.47153053504029,"none",0.0690380952380952,1,0,0,0
151,-8.5062384486332,6.48057307459403,"none",0.0094,1,0,0,0
152,-8.50639004293115,6.48961561093332,"none",0.0211285714285714,1,0,0,0
153,-8.50654185311495,6.49865814405375,"none",0.155180952380952,2,0,0,0
154,-8.50669387920357,6.50770067395092,"none",0.0255714285714286,1,0,0,0
155,-8.50684612121601,6.51674320062041,"none",0.0109,1,0,0,0
156,-8.5069985791713,6.52578572405782,"none",0.0480023809523809,1,0,0,0
157,-8.50715125308849,6.53482824425875,"none",0.0590357142857143,1,0,0,0
158,-8.50730414298667,6.54387076121879,"none",0.0124333333333333,1,0,0,0
159,-8.50745724888495,6.55291327493353,"none",0.0135,1,0,0,0
160,-8.50761057080245,6.56195578539858,"none",0.0172,1,0,0,0
161,-8.50776410875836,6.57099829260953,"none",0.0242666666666667,1,0,0,0
162,-8.50791786277187,6.58004079656197,"none",0.0260666666666667,1,0,0,0
163,-8.50807183286218,6.58908329725149,"none",0.199952380952381,2,0,0,0
164,-8.50822601904857,6.59812579467371,"none",0.0652333333333333,1,0,0,0
171,-8.49659433490399,6.44440289713642,"none",0.0120666666666667,1,0,0,0
172,-8.49674490564895,6.45344544630708,"none",0.0119666666666667,1,0,0,0
173,-8.49689569197479,6.4624879922765,"none",0.0102333333333333,1,0,0,0
174,-8.49704669390035,6.47153053504029,"none",0.0145166666666667,1,0,0,0
175,-8.4971979114445,6.48057307459403,"none",0.00506666666666667,1,0,0,0
176,-8.49734934462612,6.48961561093332,"none",0.0504333333333333,1,0,0,0
177,-8.49750099346415,6.49865814405375,"none",0.0131,1,0,0,0
178,-8.49765285797753,6.50770067395092,"none",0.121757142857143,2,0,0,0
179,-8.49780493818525,6.51674320062041,"none",0.0107333333333333,1,0,0,0
180,-8.49795723410631,6.52578572405782,"none",0.0276333333333333,1,0,0,0
181,-8.49810974575974,6.53482824425875,"none",0.0362690476190476,1,0,0,0
182,-8.49826247316461,6.54387076121879,"none",0.109295238095238,2,0,0,0
183,-8.49841541634001,6.55291327493353,"none",0.200205555555556,2,0,0,0
184,-8.49856857530506,6.56195578539858,"none",0.0289190476190476,1,0,0,0
185,-8.4987219500789,6.57099829260953,"none",0.130687301587302,2,0,0,0
186,-8.4988755406807,6.58004079656197,"none",0.0755928571428571,1,0,0,0
187,-8.49902934712967,6.58908329725149,"none",0.120511904761905,2,0,0,0
188,-8.49918336944503,6.59812579467371,"none",0.0506777777777778,1,0,0,0
189,-8.49933760764606,6.60716828882421,"none",0.0967642857142857,2,0,0,1
190,-8.49949206175201,6.6162107796986,"none",0.0419523809523809,1,0,0,0
194,-8.48740424467303,6.43536034476894,"none",0.0253,1,0,0,0
195,-8.48755443988653,6.44440289713642,"none",0.00656666666666667,1,0,0,0
196,-8.48770485043276,6.45344544630708,"none",0.0246095238095238,1,0,0,0
197,-8.48785547633049,6.4624879922765,"none",0.00716666666666667,1,0,0,0
198,-8.48800631759855,6.47153053504029,"none",0.0217595238095238,1,0,0,0
199,-8.4881573742558,6.48057307459403,"none",0.0141666666666667,1,0,0,0
200,-8.48830864632109,6.48961561093332,"none",0.143390476190476,2,0,0,1
201,-8.48846013381335,6.49865814405375,"none",0.0412619047619047,1,0,0,0
202,-8.4886118367515,6.50770067395092,"none",0.00346666666666667,1,0,0,1
203,-8.48876375515449,6.51674320062041,"none",0.0534809523809524,1,0,0,0
204,-8.48891588904131,6.52578572405782,"none",0.0593047619047619,1,0,0,0
205,-8.48906823843099,6.53482824425875,"none",0.114802380952381,2,0,0,0
206,-8.48922080334255,6.54387076121879,"none",0.0179523809523809,1,0,0,0
207,-8.48937358379508,6.55291327493353,"none",0.0127,1,0,0,0
208,-8.48952657980766,6.56195578539858,"none",0.197385714285714,2,0,0,1
209,-8.48967979139943,6.57099829260953,"none",0.172573015873016,2,0,0,0
210,-8.48983321858954,6.58004079656197,"none",0.066102380952381,1,0,0,0
211,-8.48998686139716,6.58908329725149,"none",0.166405555555556,2,0,0,0
212,-8.49014071984151,6.59812579467371,"none",0.12037619047619,2,0,0,0
213,-8.49029479394182,6.60716828882421,"none",0.133610317460317,2,0,0,0
220,-8.47851454486908,6.44440289713642,"none",0.000666666666666667,1,0,0,0
221,-8.47866479521656,6.45344544630708,"none",0.00516666666666667,1,0,0,0
222,-8.47881526068618,6.4624879922765,"none",0.139519047619048,2,0,0,0
223,-8.47896594129676,6.47153053504029,"none",0.0206666666666667,1,0,0,0
224,-8.4791168370671,6.48057307459403,"none",0.0475666666666667,1,0,0,0
225,-8.47926794801607,6.48961561093332,"none",0.0762238095238095,1,0,0,0
226,-8.47941927416255,6.49865814405375,"none",0.0105,1,0,0,0
227,-8.47957081552546,6.50770067395092,"none",0.0195666666666667,1,0,0,0
228,-8.47972257212373,6.51674320062041,"none",0.002,1,0,0,0
229,-8.47987454397632,6.52578572405782,"none",0.0167333333333333,1,0,0,1
230,-8.48002673110224,6.53482824425874,"none",0.117645238095238,2,0,0,1
231,-8.48017913352049,6.54387076121879,"none",0.104019047619048,2,0,0,0
232,-8.48033175125015,6.55291327493353,"none",0.128478571428571,2,0,0,0
233,-8.48048458431027,6.56195578539858,"none",0.0218523809523809,1,0,0,0
234,-8.48063763271997,6.57099829260953,"none",0.021002380952381,1,0,0,0
235,-8.48079089649837,6.58004079656197,"none",0.142613492063492,2,0,0,0
236,-8.48094437566465,6.58908329725149,"none",0.0577761904761905,1,0,0,0
237,-8.48109807023797,6.59812579467371,"none",0.0201857142857143,1,0,0,0
238,-8.48125198023758,6.60716828882421,"none",0.013952380952381,1,0,0,1
239,-8.4814061056827,6.6162107796986,"none",0.0969666666666667,2,0,0,0
240,-8.48156044659261,6.62525326729246,"none",0.165664285714286,2,0,0,0
248,-8.46977504504188,6.4624879922765,"none",0.0262,1,0,0,0
249,-8.46992556499496,6.47153053504029,"none",0.1357,2,0,0,0
250,-8.4700762998784,6.48057307459403,"none",0.191011111111111,2,0,0,0
251,-8.47022724971104,6.48961561093332,"none",0.0148,1,0,0,0
252,-8.47037841451175,6.49865814405375,"none",0.00252380952380952,1,0,0,0
253,-8.47052979429942,6.50770067395092,"none",0.0167666666666667,1,0,0,0
254,-8.47068138909296,6.51674320062041,"none",0.0182857142857143,1,0,0,0
255,-8.47083319891133,6.52578572405782,"none",0.19348253968254,2,0,0,0
256,-8.47098522377348,6.53482824425875,"none",0.0025,1,0,0,0
257,-8.47113746369843,6.54387076121879,"none",0.0133190476190476,1,0,0,0
258,-8.47128991870521,6.55291327493353,"none",0.016652380952381,1,0,0,0
259,-8.47144258881287,6.56195578539858,"none",0.002,1,0,0,0
260,-8.4715954740405,6.57099829260953,"none",0.00516666666666667,1,0,0,0
261,-8.47174857440721,6.58004079656196,"none",0.0220190476190476,1,0,0,0
262,-8.47190188993213,6.58908329725149,"none",0.0509714285714286,1,0,0,0
263,-8.47205542063445,6.59812579467371,"none",0.0988936507936508,2,0,0,0
264,-8.47220916653334,6.60716828882421,"none",0.142487301587302,2,0,0,0
265,-8.47236312764804,6.6162107796986,"none",0.213330952380952,2,0,0,0
266,-8.4725173039978,6.62525326729246,"none",0.0530214285714286,1,0,0,1
273,-8.46088518869315,6.47153053504029,"none",0.249334920634921,2,0,0,0
277,-8.46148877307338,6.50770067395092,"none",0.0188333333333333,1,0,0,0
278,-8.4616402060622,6.51674320062041,"none",0.00516666666666667,1,0,0,0
279,-8.46179185384633,6.52578572405782,"none",0.0204666666666667,1,0,0,0
280,-8.46194371644473,6.53482824425875,"none",0.0336309523809524,1,0,0,1
281,-8.46209579387638,6.54387076121879,"none",0.00316666666666667,1,0,0,0
282,-8.46224808616028,6.55291327493353,"none",0.1043,2,0,0,0
283,-8.46240059331548,6.56195578539858,"none",0.0162333333333333,1,0,0,0
284,-8.46255331536103,6.57099829260952,"none",0.081413492063492,2,0,0,0
285,-8.46270625231604,6.58004079656197,"none",0.105702380952381,2,0,0,0
286,-8.46285940419962,6.58908329725149,"none",0.0127,1,0,0,0
287,-8.46301277103091,6.59812579467371,"none",0.0690611111111111,1,0,0,0
288,-8.4631663528291,6.60716828882421,"none",0.0474333333333333,1,0,0,0
289,-8.46332014961339,6.6162107796986,"none",0.0345722222222222,1,0,0,0
290,-8.46347416140299,6.62525326729246,"none",0.0702460317460317,1,0,0,0
305,-8.45244775184734,6.50770067395092,"none",0.104204761904762,2,0,0,0
306,-8.45259902303144,6.51674320062041,"none",0.0331333333333333,1,0,0,0
307,-8.45275050878133,6.52578572405782,"none",0.0448904761904762,1,0,0,0
